관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,1월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,위도,경도
발자국화석공원,제주특별자치도 서귀포시 대정읍 형제해안로 192 ,관광지,자연,관광자원,기암괴석,1281.0,1.0,94.0,23.0,13.0,6.0,12.0,10.0,15.0,15.0,33.2173222,126.2930456
방림원,제주특별자치도 제주시 한경면 용금로 864 ,문화시설,인문(문화/예술/역사),문화시설,전시관,1312.0,1.0,128.0,16.0,21.0,15.0,22.0,21.0,17.0,16.0,33.3371463,126.2685417
방선문,제주특별자치도 제주시 오라이동 39-1,관광지,자연,자연관광지,계곡,623.0,1.0,68.0,14.0,11.0,10.0,12.0,9.0,5.0,7.0,33.4712097,126.5020906
방주교회,제주특별자치도 서귀포시 안덕면 산록남로762번길 113 ,관광지,인문(문화/예술/역사),역사관광지,종교성지,13913.0,1.0,1382.0,242.0,249.0,160.0,171.0,166.0,154.0,240.0,33.3051258,126.3872587
백기해녀의집,제주특별자치도 서귀포시 성산읍 일출로 88-19 ,음식점,음식,음식점,한식,381.0,1.0,55.0,12.0,12.0,5.0,5.0,4.0,6.0,11.0,,
백리향,제주특별자치도 제주시 조천읍 신북로 244 ,음식점,음식,음식점,한식,226.0,1.0,15.0,5.0,4.0,1.0,3.0,0.0,1.0,1.0,33.5369782,126.6384908
백약이오름,제주특별자치도 서귀포시 표선면 성읍리 산1 ,관광지,자연,자연관광지,산,8939.0,1.0,1311.0,211.0,157.0,215.0,184.0,162.0,142.0,240.0,33.437224,126.790195
백제사,제주특별자치도 제주시 애월읍 광령남6길 54 (애월읍),관광지,인문(문화/예술/역사),역사관광지,사찰,432.0,1.0,54.0,9.0,11.0,9.0,9.0,5.0,4.0,7.0,33.4487759,126.4242169
백패커스홈,제주특별자치도 서귀포시 중정로 24-7 (서귀동),숙박,숙박,숙박시설,게스트하우스,315.0,1.0,42.0,10.0,10.0,4.0,3.0,6.0,3.0,6.0,33.2472869,126.5590809
뱅인타코,제주특별자치도 서귀포시 에듀시티로 74 라온프라이빗에듀 상가동 101호,음식점,음식,음식점,서양식,191.0,1.0,16.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0,33.2895343,126.2819869
버터모닝,제주특별자치도 제주시 하광로 279 ,음식점,음식,음식점,카페/전통찻집,449.0,1.0,57.0,8.0,7.0,3.0,10.0,11.0,9.0,9.0,33.4642738,126.4229995
법화사,제주특별자치도 서귀포시 하원북로35번길 15-28 법화사 ,관광지,인문(문화/예술/역사),역사관광지,사찰,1620.0,1.0,114.0,25.0,16.0,16.0,15.0,14.0,10.0,18.0,33.2651982,126.4577155
법환어촌계횟집,제주특별자치도 서귀포시 막숙포로 61 (법환동),음식점,음식,음식점,한식,160.0,1.0,27.0,4.0,9.0,1.0,5.0,2.0,1.0,5.0,33.2358897,126.514898
법환포구,제주특별자치도 서귀포시 막숙포로 46 (법환동),관광지,자연,자연관광지,항구/포구,2010.0,1.0,192.0,39.0,25.0,27.0,27.0,20.0,23.0,31.0,33.2378108,126.5157218
벙커하우스,제주특별자치도 서귀포시 막숙포로41번길 66 ,음식점,음식,음식점,카페/전통찻집,349.0,1.0,35.0,5.0,5.0,4.0,11.0,3.0,4.0,3.0,33.2405833,126.5191222
베니키아중문호텔,제주특별자치도 서귀포시 천제연로 166 (중문동),숙박,숙박,숙박시설,관광호텔,207.0,1.0,35.0,10.0,3.0,0.0,4.0,6.0,4.0,8.0,,
베니키아호텔제주,제주특별자치도 제주시 애월읍 애월해안로 554-10 ,숙박,숙박,숙박시설,관광호텔,272.0,1.0,37.0,6.0,4.0,15.0,3.0,5.0,1.0,3.0,33.477337,126.3628356
베릿네오름,제주특별자치도 서귀포시 중문동 2314-2 ,관광지,자연,자연관광지,산,1551.0,1.0,180.0,24.0,30.0,29.0,23.0,23.0,25.0,26.0,33.2489928,126.4189201
베이힐풀앤빌라,제주특별자치도 서귀포시 예래로 424 (하예동),숙박,숙박,숙박시설,콘도미니엄,391.0,1.0,40.0,11.0,11.0,3.0,2.0,4.0,3.0,6.0,,
별도봉,제주특별자치도 제주시 선반로 (화북일동),관광지,자연,자연관광지,산,942.0,1.0,99.0,15.0,20.0,15.0,9.0,5.0,14.0,21.0,33.5152335,126.5637013
별방진,제주특별자치도 제주시 구좌읍 하도리 3354 (구좌읍),관광지,인문(문화/예술/역사),역사관광지,성,2260.0,1.0,219.0,44.0,35.0,34.0,22.0,31.0,20.0,33.0,33.5264493,126.8830512
볕이드는곳벧디,제주특별자치도 제주시 은수길 65 ,음식점,음식,음식점,카페/전통찻집,344.0,1.0,45.0,7.0,9.0,3.0,3.0,6.0,7.0,10.0,33.4714991,126.4880975
보래드베이커스,제주특별자치도 서귀포시 보목로64번길 178 1층,음식점,음식,음식점,카페/전통찻집,331.0,1.0,52.0,8.0,6.0,7.0,10.0,4.0,6.0,11.0,33.2444011,126.5906654
보롬왓,제주특별자치도 서귀포시 번영로 2350-104 ,관광지,인문(문화/예술/역사),산업관광지,기타,17967.0,1.0,628.0,105.0,110.0,94.0,64.0,95.0,70.0,90.0,33.4134884,126.7525669
보목포구,제주특별자치도 서귀포시 보목포로 46 (보목동),관광지,자연,자연관광지,항구/포구,1004.0,1.0,93.0,17.0,19.0,9.0,14.0,9.0,8.0,17.0,33.2395268,126.6073589
보물섬하이킹,"제주특별자치도 제주시 용문로14길 14 (용담이동,장원하이빌아파트)",레포츠,레포츠,육상 레포츠,자전거하이킹,587.0,1.0,61.0,19.0,8.0,8.0,8.0,6.0,3.0,9.0,33.5059252,126.5102111
보영반점,제주특별자치도 제주시 한림읍 한림로 692-1 ,음식점,음식,음식점,중식,267.0,1.0,33.0,11.0,7.0,2.0,4.0,3.0,4.0,2.0,33.4165946,126.265158
보통청춘기록실청춘사진관,제주특별자치도 제주시 한림읍 일주서로 5867 ,관광지,인문(문화/예술/역사),체험관광지,이색체험,786.0,1.0,103.0,26.0,15.0,7.0,15.0,16.0,15.0,9.0,,
복단지식당,제주특별자치도 제주시 한림읍 한림북동길 26 ,음식점,음식,음식점,한식,205.0,1.0,22.0,5.0,1.0,3.0,1.0,6.0,1.0,5.0,33.4174102,126.2639547
복자씨연탄구이,제주특별자치도 서귀포시 성산읍 해맞이해안로 2764 ,음식점,음식,음식점,한식,660.0,1.0,70.0,11.0,16.0,11.0,8.0,9.0,4.0,11.0,33.4691923,126.9198574
본가,제주특별자치도 제주시 도남로 101 ,음식점,음식,음식점,한식,129.0,1.0,33.0,7.0,5.0,1.0,8.0,2.0,4.0,6.0,33.4911293,126.5285477
본카페,제주특별자치도 제주시 애월읍 애월해안로 179 ,음식점,음식,음식점,카페/전통찻집,182.0,1.0,22.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,33.4677759,126.332037
본태박물관,제주특별자치도 서귀포시 안덕면 산록남로762번길 69 (안덕면),문화시설,인문(문화/예술/역사),문화시설,박물관,8880.0,1.0,543.0,91.0,82.0,74.0,57.0,53.0,67.0,119.0,33.3038302,126.3925024
볼스카페,제주특별자치도 서귀포시 일주서로 626 ,음식점,음식,음식점,카페/전통찻집,308.0,1.0,32.0,7.0,5.0,4.0,6.0,4.0,2.0,4.0,33.2533157,126.4425765
봄날카페,제주특별자치도 제주시 애월읍 애월로1길 25 ,음식점,음식,음식점,카페/전통찻집,2277.0,1.0,257.0,48.0,40.0,35.0,39.0,34.0,28.0,33.0,33.4625151,126.3094702
봉주르마담,제주특별자치도 서귀포시 대청로 33 오름빌딩1차 103호,음식점,음식,음식점,카페/전통찻집,248.0,1.0,31.0,6.0,6.0,4.0,5.0,1.0,4.0,5.0,33.2527924,126.5033566
북촌리4.3길,제주특별자치도 제주시 조천읍 북촌3길 3 ,관광지,자연,자연관광지,자연생태관광지,836.0,1.0,59.0,13.0,10.0,10.0,7.0,5.0,7.0,7.0,,
북촌에가면,제주특별자치도 제주시 북촌5길 6 ,음식점,음식,음식점,카페/전통찻집,854.0,1.0,68.0,14.0,12.0,8.0,12.0,4.0,5.0,13.0,33.54803880000001,126.6925813
불탑사,제주특별자치도 제주시 원당로16길 41 (삼양일동),관광지,인문(문화/예술/역사),역사관광지,사찰,821.0,1.0,71.0,11.0,11.0,12.0,7.0,9.0,9.0,12.0,,
붉은오름자연휴양림,제주특별자치도 서귀포시 표선면 남조로 1487-73 ,관광지,자연,자연관광지,자연휴양림,3950.0,1.0,192.0,26.0,32.0,31.0,27.0,28.0,14.0,34.0,,
뷰스트,제주특별자치도 서귀포시 형제해안로 30 ,음식점,음식,음식점,카페/전통찻집,171.0,1.0,22.0,4.0,1.0,3.0,5.0,1.0,2.0,6.0,33.22778660000001,126.3034978
브릭216,제주특별자치도 서귀포시 이어도로 216 (대포동),숙박,숙박,숙박시설,게스트하우스,296.0,1.0,44.0,6.0,4.0,5.0,4.0,8.0,5.0,12.0,33.240855,126.4434116
블라제리조트,제주특별자치도 서귀포시 녹산로 274 ,숙박,숙박,숙박시설,콘도미니엄,367.0,1.0,58.0,7.0,11.0,9.0,7.0,6.0,6.0,12.0,33.3792662,126.7469026
블랑로쉐,제주특별자치도 제주시 우도면 우도해안길 783 ,음식점,음식,음식점,카페/전통찻집,411.0,1.0,34.0,4.0,4.0,2.0,5.0,7.0,4.0,8.0,33.5169474,126.9579979
블루메베이글,제주특별자치도 제주시 가령로4길 3 ,음식점,음식,음식점,카페/전통찻집,564.0,1.0,62.0,15.0,9.0,6.0,7.0,11.0,1.0,13.0,33.4967164,126.5331297
블루사이공,제주특별자치도 제주시 중산간서로 6333 ,음식점,음식,음식점,이색음식점,302.0,1.0,36.0,10.0,10.0,3.0,4.0,2.0,1.0,6.0,33.4570669,126.4078876
블룸호텔,제주특별자치도 서귀포시 중문관광로72번길 53 (색달동) ,숙박,숙박,숙박시설,관광호텔,278.0,1.0,37.0,8.0,9.0,3.0,3.0,3.0,4.0,7.0,33.2498662,126.4081758
블리스풀,제주특별자치도 제주시 산록서로 383 1층,음식점,음식,음식점,카페/전통찻집,296.0,1.0,39.0,7.0,8.0,5.0,9.0,3.0,3.0,4.0,33.4049743,126.4075198
비스타리조트,제주특별자치도 제주시 서해안로 74 ,숙박,인문(문화/예술/역사),휴양관광지,관광단지,191.0,1.0,24.0,6.0,3.0,2.0,4.0,0.0,2.0,7.0,33.5031197,126.457563
비양도,제주특별자치도 제주시 한림읍 한림리 ,관광지,자연,자연관광지,섬,9499.0,1.0,415.0,91.0,65.0,59.0,57.0,55.0,24.0,64.0,33.3819398,126.2497525
비어라운드,제주특별자치도 제주시 구좌읍 하도9길 72 ,음식점,음식,음식점,카페/전통찻집,30.0,1.0,30.0,4.0,6.0,4.0,5.0,4.0,4.0,3.0,,
비원,제주특별자치도 제주시 수목원길 3-1 ,음식점,음식,음식점,한식,164.0,1.0,12.0,3.0,2.0,0.0,3.0,2.0,1.0,1.0,33.4700634,126.486041
비자림,제주특별자치도 제주시 구좌읍 비자숲길 55 ,관광지,자연,자연관광지,수목원,90622.0,1.0,6894.0,1153.0,1194.0,920.0,838.0,838.0,847.0,1104.0,33.4914321,126.8111377
비체올린,제주특별자치도 제주시 한경면 판조로 253-6 ,레포츠,레포츠,수상 레포츠,카약/카누,2417.0,1.0,175.0,36.0,34.0,25.0,20.0,27.0,12.0,21.0,33.3494593,126.2184532
빛의벙커,제주특별자치도 서귀포시 성산읍 고성리 ,문화시설,인문(문화/예술/역사),문화시설,전시관,5716.0,1.0,244.0,50.0,43.0,29.0,40.0,34.0,21.0,27.0,,
빵귿,제주특별자치도 제주시 구남동6길 45-1 1층,음식점,음식,음식점,카페/전통찻집,173.0,1.0,17.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,33.4871193,126.5351508
쁠랑뜨,제주특별자치도 제주시 1100로 2977-15 ,음식점,음식,음식점,카페/전통찻집,528.0,1.0,47.0,12.0,7.0,3.0,5.0,7.0,5.0,8.0,33.4527721,126.4854305
사계해변,제주특별자치도 서귀포시 안덕면 사계리 2147-35,관광지,자연,자연관광지,해수욕장,7256.0,1.0,638.0,128.0,95.0,95.0,92.0,60.0,57.0,111.0,33.2281549,126.3083471
사라봉,제주특별자치도 제주시 사라봉동길 61 (건입동),관광지,자연,자연관광지,산,3243.0,1.0,386.0,57.0,53.0,51.0,40.0,35.0,52.0,98.0,33.5175052,126.5463832
사라봉공원,제주특별자치도 제주시 사라봉동길 74 ,관광지,인문(문화/예술/역사),휴양관광지,공원,1849.0,1.0,184.0,33.0,28.0,28.0,24.0,22.0,29.0,20.0,33.5177204,126.5457574
사라오름,제주특별자치도 서귀포시 남원읍 신례리 산 2-1 ,관광지,자연,자연관광지,산,3101.0,1.0,335.0,67.0,54.0,39.0,52.0,39.0,29.0,55.0,33.3330338,126.6180657
사려니숲길,제주특별자치도 서귀포시 표선면 가시리 붉은오름 입구 ,레포츠,레포츠,육상 레포츠,트래킹,91246.0,1.0,9038.0,1511.0,1416.0,1238.0,1023.0,1138.0,1201.0,1511.0,33.4180631,126.6534847
사해방흑돼지,제주특별자치도 서귀포시 천제연로 263 ,음식점,음식,음식점,한식,300.0,1.0,32.0,6.0,3.0,6.0,3.0,6.0,1.0,7.0,33.2514515,126.4327501
사회복지법인평화의마을,제주특별자치도 서귀포시 대정읍 중산간서로 2195-12 ,쇼핑,쇼핑,쇼핑,전문매장/상가,572.0,1.0,48.0,8.0,3.0,11.0,3.0,8.0,6.0,9.0,,
산굼부리,제주특별자치도 제주시 조천읍 비자림로 768 ,관광지,자연,자연관광지,산,12068.0,1.0,882.0,182.0,146.0,132.0,120.0,92.0,69.0,141.0,33.4349973,126.6882639
산방굴사,제주특별자치도 서귀포시 안덕면 산방로 218-12 ,관광지,인문(문화/예술/역사),역사관광지,사찰,10646.0,1.0,1000.0,174.0,158.0,133.0,122.0,130.0,120.0,163.0,33.2423934,126.3139575
산방산랜드,제주특별자치도 서귀포시 안덕면 사계리 117-2,관광지,인문(문화/예술/역사),휴양관광지,테마공원,3336.0,1.0,228.0,51.0,30.0,37.0,29.0,29.0,16.0,36.0,,
산방산,제주특별자치도 서귀포시 안덕면 산방로 218-10 (안덕면),관광지,자연,자연관광지,산,19214.0,1.0,1604.0,263.0,263.0,224.0,219.0,175.0,177.0,283.0,33.2423934,126.3139575
산지등대,제주특별자치도 제주시 사라봉동길 108-1 (건입동),관광지,자연,자연관광지,등대,1222.0,1.0,130.0,36.0,15.0,11.0,18.0,10.0,14.0,26.0,33.5213689,126.5456439
산지천,제주특별자치도 제주시 건입동 ,관광지,자연,자연관광지,계곡,2021.0,1.0,134.0,31.0,26.0,13.0,18.0,10.0,16.0,20.0,33.5153591,126.5420032
산지천갤러리,제주특별자치도 제주시 중앙로3길 36 ,문화시설,인문(문화/예술/역사),문화시설,미술관/화랑,503.0,1.0,62.0,17.0,8.0,9.0,8.0,7.0,7.0,6.0,33.5151533,126.5283418
산지해장국,제주특별자치도 제주시 임항로 34 ,음식점,음식,음식점,한식,322.0,1.0,37.0,5.0,8.0,6.0,5.0,1.0,5.0,7.0,33.5163687,126.5285146
산천단곰솔,제주특별자치도 제주시 516로 3041-24 (아라일동),관광지,자연,관광자원,희귀동.식물,528.0,1.0,55.0,10.0,14.0,7.0,8.0,5.0,2.0,9.0,33.44761440000001,126.5548272
산포식당,제주특별자치도 서귀포시 성산읍 서성일로 1134 ,음식점,음식,음식점,한식,312.0,1.0,38.0,11.0,4.0,2.0,6.0,1.0,5.0,9.0,33.445123,126.8996991
삼다닷컴,제주특별자치도 제주시 연삼로 295-1 (도남동),쇼핑,쇼핑,쇼핑,전문매장/상가,258.0,1.0,27.0,5.0,6.0,3.0,4.0,3.0,3.0,3.0,33.4925754,126.5243068
삼다도횟집,제주특별자치도 제주시 서해안로 572 ,음식점,음식,음식점,한식,647.0,1.0,91.0,18.0,14.0,7.0,18.0,12.0,8.0,14.0,33.5190045,126.4992157
삼다정,제주특별자치도 제주시 노연로 80 1층,음식점,음식,음식점,한식,541.0,1.0,75.0,17.0,8.0,13.0,9.0,7.0,7.0,14.0,33.4848645,126.4885577
삼매봉,제주특별자치도 서귀포시 서홍동 820-2,관광지,인문(문화/예술/역사),휴양관광지,공원,630.0,1.0,82.0,19.0,12.0,16.0,12.0,9.0,4.0,10.0,33.2437181,126.5462844
삼무국수,제주특별자치도 제주시 삼무로3길 46-1 (연동),음식점,음식,음식점,한식,484.0,1.0,58.0,6.0,5.0,6.0,12.0,5.0,14.0,10.0,33.4906074,126.4909963
삼보식당,제주특별자치도 서귀포시 중정로 25 (서귀동) ,음식점,음식,음식점,한식,223.0,1.0,19.0,5.0,2.0,1.0,3.0,1.0,3.0,4.0,33.2477179,126.5591143
삼성혈해물탕,제주특별자치도 제주시 선덕로5길 20 ,음식점,음식,음식점,한식,501.0,1.0,48.0,8.0,10.0,6.0,10.0,4.0,4.0,6.0,33.4880115,126.4997147
삼양해수욕장,제주특별자치도 제주시 삼양이동 ,관광지,자연,자연관광지,해수욕장,3979.0,1.0,233.0,41.0,27.0,29.0,38.0,22.0,30.0,46.0,33.5152875,126.5914354
삼양해안도로,제주특별자치도 제주시 삼양삼동 2582-1 ,관광지,자연,자연관광지,자연생태관광지,481.0,1.0,50.0,11.0,7.0,6.0,8.0,3.0,10.0,5.0,33.52099949999999,126.5841277
삼일해장국,제주특별자치도 제주시 하귀9길 14 ,음식점,음식,음식점,한식,311.0,1.0,38.0,9.0,7.0,6.0,5.0,3.0,5.0,3.0,33.4855944,126.4151768
새별오름,제주특별자치도 제주시 애월읍 봉성리 산 59-8 ,관광지,자연,자연관광지,산,40734.0,1.0,4342.0,739.0,731.0,567.0,528.0,512.0,545.0,720.0,33.364338,126.3552026
새빌,제주특별자치도 제주시 애월읍 평화로 1529 ,음식점,음식,음식점,카페/전통찻집,652.0,1.0,66.0,13.0,12.0,9.0,7.0,8.0,10.0,7.0,33.3630985,126.3637295
생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 ,쇼핑,쇼핑,쇼핑,사후면세점,4446.0,1.0,416.0,78.0,68.0,66.0,61.0,47.0,45.0,51.0,33.3256175,126.2554228
생원전복,제주특별자치도 서귀포시 안덕면 산방로 7 ,음식점,음식,음식점,한식,282.0,1.0,24.0,2.0,6.0,2.0,3.0,3.0,1.0,7.0,33.2458578,126.3306689
샤오츠,제주특별자치도 서귀포시 성산등용로17번길 55 제주 성산 리치유 클래시아 상가 102호,음식점,음식,음식점,중식,224.0,1.0,30.0,3.0,6.0,5.0,5.0,2.0,5.0,4.0,33.4604576,126.9296608
샤이니숲길,제주특별자치도 제주시 조천읍 교래리 719-10,관광지,자연,자연관광지,산,2174.0,1.0,213.0,39.0,31.0,38.0,20.0,21.0,24.0,40.0,33.4180631,126.6534847
서건도,제주특별자치도 서귀포시 강정동 ,관광지,자연,자연관광지,섬,2003.0,1.0,150.0,24.0,24.0,25.0,19.0,14.0,25.0,19.0,33.2300776,126.4984926
서귀다원,제주특별자치도 서귀포시 516로 717 (상효동),관광지,인문(문화/예술/역사),산업관광지,기타,4111.0,1.0,641.0,128.0,96.0,68.0,71.0,91.0,82.0,105.0,33.3211576,126.5716701
서귀본향당,제주특별자치도 서귀포시 이중섭로 23-11 (서귀동),관광지,인문(문화/예술/역사),역사관광지,유적지/사적지,783.0,1.0,60.0,11.0,13.0,6.0,9.0,5.0,4.0,12.0,33.2461722,126.5647482
서귀포귤림성,제주특별자치도 서귀포시 일주동로 8941 ,숙박,숙박,숙박시설,펜션,352.0,1.0,48.0,13.0,8.0,8.0,3.0,3.0,3.0,10.0,33.2505771,126.5363941
서귀포치유의숲,제주특별자치도 서귀포시 산록남로 2271 (호근동),관광지,인문(문화/예술/역사),휴양관광지,헬스투어,11271.0,1.0,502.0,78.0,87.0,73.0,50.0,71.0,56.0,87.0,33.3025489,126.5245747
서귀포KAL호텔,제주특별자치도 서귀포시 칠십리로 242 ,숙박,숙박,숙박시설,관광호텔,866.0,1.0,91.0,11.0,19.0,14.0,9.0,12.0,14.0,12.0,33.2462908,126.5813639
서귀포매일올레시장,제주특별자치도 서귀포시 중앙로62번길 18 ,쇼핑,쇼핑,쇼핑,상설시장,15106.0,1.0,1066.0,177.0,176.0,132.0,127.0,123.0,127.0,204.0,33.2501737,126.5634281
서귀포시립기당미술관,제주특별자치도 서귀포시 남성중로153번길 15 ,문화시설,인문(문화/예술/역사),문화시설,미술관/화랑,1077.0,1.0,99.0,14.0,18.0,18.0,16.0,12.0,9.0,12.0,33.2446073,126.5517635
서귀포예술의전당,제주특별자치도 서귀포시 태평로 270 (서홍동) ,문화시설,인문(문화/예술/역사),문화시설,공연장,6869.0,1.0,771.0,122.0,160.0,160.0,89.0,84.0,67.0,89.0,33.2462166,126.550832
서귀포자연휴양림,제주특별자치도 서귀포시 1100로 882 ,관광지,자연,자연관광지,자연휴양림,2851.0,1.0,119.0,25.0,24.0,6.0,15.0,17.0,14.0,18.0,33.3107796,126.4597767
서귀포잠수함,제주특별자치도 서귀포시 남성중로 40 ,관광지,인문(문화/예술/역사),휴양관광지,유람선/잠수함관광,1510.0,1.0,496.0,89.0,79.0,68.0,59.0,72.0,54.0,75.0,,
서귀포천문과학문화관,제주특별자치도 서귀포시 1100로 506-1 천문과학문화관 ,문화시설,인문(문화/예술/역사),문화시설,전시관,2235.0,1.0,297.0,63.0,54.0,39.0,34.0,39.0,35.0,33.0,33.2879365,126.4613039
서귀포칠십리시공원,제주특별자치도 서귀포시 현청로 41-19 ,관광지,자연,자연관광지,수목원,3056.0,1.0,287.0,63.0,42.0,37.0,44.0,35.0,22.0,44.0,33.2461424,126.5536944
서귀포항,제주특별자치도 서귀포시 칠십리로72번길 14 (서귀동),관광지,자연,자연관광지,항구/포구,2308.0,1.0,251.0,55.0,38.0,25.0,45.0,30.0,25.0,33.0,33.2382947,126.5668633
서귀포해안,제주특별자치도 서귀포시 남성로128번길 13 (서홍동) ,관광지,자연,자연관광지,해안절경,444.0,1.0,49.0,9.0,8.0,4.0,7.0,8.0,4.0,9.0,33.2857414,126.51819
서귀피안베이커리,제주특별자치도 서귀포시 신양로122번길 17 ,음식점,음식,음식점,카페/전통찻집,1076.0,1.0,56.0,7.0,10.0,9.0,3.0,6.0,10.0,11.0,33.4353401,126.921809
서문공설시장,제주특별자치도 제주시 서문로4길 13-2 ,쇼핑,쇼핑,쇼핑,상설시장,846.0,1.0,96.0,15.0,16.0,17.0,13.0,13.0,9.0,13.0,33.51136470000001,126.5179247
서복전시관,제주특별자치도 서귀포시 칠십리로 156-8 (서귀동),문화시설,인문(문화/예술/역사),문화시설,전시관,2202.0,1.0,101.0,21.0,14.0,13.0,9.0,13.0,11.0,20.0,33.2447048,126.5709423
서프라이즈테마파크,제주특별자치도 제주시 조천읍 남조로 2243 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,1994.0,1.0,183.0,32.0,25.0,29.0,33.0,20.0,20.0,24.0,33.4651605,126.6592588
서홍정원,제주특별자치도 서귀포시 솜반천로55번길 12-8 ,음식점,음식,음식점,카페/전통찻집,254.0,1.0,39.0,8.0,7.0,3.0,10.0,1.0,5.0,5.0,33.252591,126.5544564
선운정사,제주특별자치도 제주시 애월읍 구몰동길 65 ,관광지,인문(문화/예술/역사),역사관광지,사찰,2945.0,1.0,300.0,43.0,46.0,50.0,39.0,37.0,34.0,51.0,33.4293512,126.3070877
선흘곶,제주특별자치도 제주시 조천읍 동백로 102 ,음식점,음식,음식점,한식,292.0,1.0,34.0,7.0,7.0,6.0,5.0,2.0,2.0,5.0,33.5084437,126.7177644
섬소나이,제주특별자치도 제주시 우도해안길 814 ,음식점,음식,음식점,중식,628.0,1.0,50.0,12.0,7.0,6.0,6.0,6.0,3.0,10.0,33.5132549,126.9575025
섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107 ,관광지,자연,자연관광지,해안절경,37459.0,1.0,3082.0,568.0,562.0,383.0,428.0,358.0,315.0,468.0,33.4300919,126.9272996
